"id","code","name","continent","wikipedia_link","keywords"
0,"AD","Andorra","EU","http://en.wikipedia.org/wiki/Andorra",
1,"AE","United Arab Emirates","AS","http://en.wikipedia.org/wiki/United_Arab_Emirates","UAE"
2,"AF","Afghanistan","AS","http://en.wikipedia.org/wiki/Afghanistan",
3,"AG","Antigua and Barbuda","NA","http://en.wikipedia.org/wiki/Antigua_and_Barbuda",
4,"AI","Anguilla","NA","http://en.wikipedia.org/wiki/Anguilla",
5,"AL","Albania","EU","http://en.wikipedia.org/wiki/Albania",
6,"AM","Armenia","AS","http://en.wikipedia.org/wiki/Armenia",
7,"AO","Angola","AF","http://en.wikipedia.org/wiki/Angola",
8,"AQ","Antarctica","AN","http://en.wikipedia.org/wiki/Antarctica",
9,"AR","Argentina","SA","http://en.wikipedia.org/wiki/Argentina",
10,"AS","American Samoa","OC","http://en.wikipedia.org/wiki/American_Samoa",
